pair_id,class_label,distance,filename_a,filename_b,verdict,notes
PAIR_01,glioma,6,Tr-gl_339.jpg,Tr-gl_1113.jpg,same_patient,
PAIR_02,glioma,6,Tr-gl_1306.jpg,Tr-gl_229.jpg,same_patient,
PAIR_03,glioma,6,Tr-gl_1104.jpg,Tr-gl_685.jpg,distinct,
PAIR_04,pituitary,6,Tr-pi_1010.jpg,Tr-pi_593.jpg,same_patient,
PAIR_05,pituitary,6,Tr-pi_615.jpg,Tr-pi_1004.jpg,same_patient,
PAIR_06,notumor,6,Tr-no_1153.jpg,Tr-no_320.jpg,distinct,
PAIR_07,meningioma,6,Tr-me_918.jpg,Tr-me_92.jpg,same_patient,
PAIR_08,notumor,6,Tr-no_397.jpg,Te-no_38.jpg,same_patient,
PAIR_09,glioma,6,Tr-gl_155.jpg,Tr-gl_1183.jpg,same_patient,
PAIR_10,pituitary,6,Tr-pi_1311.jpg,Te-pi_155.jpg,same_patient,
PAIR_11,pituitary,6,Tr-pi_793.jpg,Tr-pi_227.jpg,same_patient,
PAIR_12,notumor,6,Tr-no_12.jpg,Tr-no_1323.jpg,same_patient,
PAIR_13,notumor,6,Tr-no_531.jpg,Tr-no_687.jpg,same_patient,
PAIR_14,notumor,6,Tr-no_567.jpg,Tr-no_1176.jpg,same_patient,
PAIR_15,pituitary,6,Te-pi_306.jpg,Tr-pi_1265.jpg,same_patient,
PAIR_16,meningioma,6,Tr-me_1248.jpg,Tr-me_874.jpg,same_patient,
PAIR_17,pituitary,6,Tr-pi_57.jpg,Tr-pi_1053.jpg,same_patient,
PAIR_18,pituitary,6,Tr-pi_1389.jpg,Te-pi_322.jpg,same_patient,
PAIR_19,notumor,6,Tr-no_624.jpg,Te-no_171.jpg,same_patient,
PAIR_20,pituitary,6,Tr-pi_420.jpg,Tr-pi_1004.jpg,same_patient,
PAIR_21,notumor,6,Tr-no_688.jpg,Tr-no_287.jpg,same_patient,
PAIR_22,meningioma,6,Tr-me_622.jpg,Tr-me_420.jpg,same_patient,
PAIR_23,pituitary,6,Te-pi_1.jpg,Tr-pi_339.jpg,same_patient,
PAIR_24,glioma,6,Tr-gl_1389.jpg,Tr-gl_105.jpg,same_patient,
PAIR_25,notumor,6,Tr-no_1153.jpg,Te-no_177.jpg,same_patient,
PAIR_26,glioma,6,Tr-gl_656.jpg,Tr-gl_1315.jpg,same_patient,
PAIR_27,glioma,6,Te-gl_290.jpg,Tr-gl_681.jpg,unsure,
PAIR_28,meningioma,6,Tr-me_315.jpg,Tr-me_125.jpg,same_patient,
PAIR_29,glioma,6,Te-gl_217.jpg,Tr-gl_624.jpg,same_patient,
PAIR_30,pituitary,6,Tr-pi_851.jpg,Te-pi_39.jpg,same_patient,
PAIR_31,glioma,6,Tr-gl_949.jpg,Tr-gl_1002.jpg,same_patient,
PAIR_32,pituitary,6,Tr-pi_724.jpg,Tr-pi_783.jpg,same_patient,
PAIR_33,pituitary,6,Tr-pi_1115.jpg,Tr-pi_692.jpg,same_patient,
PAIR_34,pituitary,6,Tr-pi_614.jpg,Tr-pi_973.jpg,same_patient,
PAIR_35,pituitary,6,Te-pi_384.jpg,Te-pi_363.jpg,unsure,
PAIR_36,glioma,6,Te-gl_65.jpg,Tr-gl_34.jpg,unsure,
PAIR_37,meningioma,6,Te-me_257.jpg,Tr-aug-me_59.jpg,same_patient,
PAIR_38,pituitary,6,Tr-pi_628.jpg,Tr-pi_1286.jpg,same_patient,
PAIR_39,glioma,6,Tr-gl_844.jpg,Te-gl_214.jpg,same_patient,
PAIR_40,glioma,6,Tr-gl_1220.jpg,Tr-gl_779.jpg,unsure,
PAIR_41,pituitary,6,Tr-pi_621.jpg,Tr-pi_729.jpg,same_patient,
PAIR_42,pituitary,6,Tr-pi_895.jpg,Tr-pi_429.jpg,same_patient,
PAIR_43,notumor,6,Tr-no_1144.jpg,Te-no_74.jpg,same_patient,
PAIR_44,pituitary,6,Tr-pi_1391.jpg,Tr-pi_398.jpg,same_patient,
PAIR_45,meningioma,6,Tr-me_886.jpg,Tr-me_1013.jpg,same_patient,
PAIR_46,pituitary,6,Te-pi_109.jpg,Te-pi_19.jpg,same_patient,
PAIR_47,pituitary,6,Tr-pi_1387.jpg,Tr-pi_954.jpg,same_patient,
PAIR_48,glioma,6,Tr-gl_151.jpg,Tr-gl_682.jpg,same_patient,
PAIR_49,notumor,6,Tr-no_228.jpg,Tr-no_568.jpg,same_patient,
PAIR_50,meningioma,6,Tr-me_1171.jpg,Tr-me_273.jpg,same_patient,
PAIR_51,glioma,6,Tr-gl_951.jpg,Tr-gl_866.jpg,same_patient,
PAIR_52,meningioma,6,Tr-me_312.jpg,Tr-me_866.jpg,distinct,
PAIR_53,glioma,6,Tr-gl_750.jpg,Tr-gl_818.jpg,same_patient,
PAIR_54,glioma,6,Te-gl_3.jpg,Te-gl_161.jpg,unsure,
PAIR_55,meningioma,6,Tr-me_909.jpg,Te-me_122.jpg,same_patient,
PAIR_56,pituitary,6,Tr-pi_795.jpg,Te-pi_243.jpg,same_patient,
PAIR_57,notumor,6,Tr-no_804.jpg,Tr-no_1062.jpg,same_patient,
PAIR_58,pituitary,6,Tr-pi_874.jpg,Te-pi_65.jpg,same_patient,
PAIR_59,meningioma,6,Tr-me_831.jpg,Tr-me_769.jpg,same_patient,
PAIR_60,meningioma,6,Tr-me_359.jpg,Tr-me_668.jpg,unsure,
PAIR_61,glioma,6,Tr-gl_297.jpg,Tr-gl_1367.jpg,same_patient,
PAIR_62,pituitary,6,Tr-pi_640.jpg,Tr-pi_1079.jpg,same_patient,
PAIR_63,meningioma,6,Tr-me_527.jpg,Tr-me_708.jpg,same_patient,
PAIR_64,meningioma,6,Tr-me_39.jpg,Tr-me_931.jpg,same_patient,
PAIR_65,meningioma,6,Te-me_28.jpg,Tr-me_718.jpg,same_patient,
PAIR_66,notumor,6,Te-no_367.jpg,Te-no_361.jpg,same_patient,
PAIR_67,glioma,6,Tr-gl_1301.jpg,Tr-gl_303.jpg,same_patient,
PAIR_68,meningioma,6,Tr-aug-me_50.jpg,Tr-me_1147.jpg,same_patient,
PAIR_69,pituitary,6,Tr-pi_156.jpg,Tr-pi_86.jpg,same_patient,
PAIR_70,notumor,6,Tr-no_633.jpg,Te-no_400.jpg,same_patient,
PAIR_71,notumor,6,Tr-no_1211.jpg,Te-no_223.jpg,same_patient,
PAIR_72,pituitary,6,Te-pi_110.jpg,Te-pi_380.jpg,same_patient,
PAIR_73,pituitary,6,Tr-pi_1353.jpg,Te-pi_300.jpg,same_patient,
PAIR_74,notumor,6,Tr-no_223.jpg,Tr-no_716.jpg,same_patient,
PAIR_75,notumor,6,Tr-no_1353.jpg,Te-no_100.jpg,same_patient,
PAIR_76,notumor,6,Tr-no_870.jpg,Te-no_140.jpg,same_patient,
PAIR_77,meningioma,6,Te-aug-me_94.jpg,Tr-me_297.jpg,same_patient,
PAIR_78,notumor,6,Tr-no_682.jpg,Te-no_160.jpg,same_patient,
PAIR_79,glioma,6,Tr-gl_1373.jpg,Tr-gl_1011.jpg,same_patient,
PAIR_80,glioma,6,Tr-gl_1385.jpg,Tr-gl_1358.jpg,same_patient,
