dataset_id,split,class_label,filepath,filename,extension,file_size_bytes,width,height,mode,sha256,phash,ahash,dhash,leakage_group_id,leakage_group_size,leakage_group_majority_class,assigned_split
D1_nickparvar_kaggle,Testing,meningioma,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_50.jpg,Te-me_50.jpg,.jpg,9781,225,225,RGB,189c6dfd75947dadad4abd3daff45ce9d5b1909c9eea812d796eca85896f39e2,901a7f616de532a6,003c3c3e7e7e7e3c,79f8f0f0e0c8cce4,683,7,meningioma,train
D1_nickparvar_kaggle,Training,meningioma,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_714.jpg,Tr-me_714.jpg,.jpg,23698,554,554,RGB,1db9c81ca21c0ec3f145865ef84c439d9e3fd951b8478cef6a3a2d31a6e7c5d1,901a7f616de532a6,003c3c3e7e7e7e3c,79f8f0f0e0c8cce4,683,7,meningioma,train
D1_nickparvar_kaggle,Testing,glioma,data/raw/D1_nickparvar_kaggle/Testing/glioma/Te-gl_68.jpg,Te-gl_68.jpg,.jpg,12469,236,236,RGB,7731e42be9ba3453360086cd91b77036dd5cacd848cb1c407887159c71222a7b,901a7f616de436a6,003c3c3e7e7e7e3c,79f8f0f0e0c8cce4,683,7,meningioma,train
D1_nickparvar_kaggle,Testing,meningioma,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_61.jpg,Te-me_61.jpg,.jpg,33797,554,554,RGB,b8a42737f41cb71d02cc8f6ea840c15f91ec938639d089be773149eb7cd878a6,901a7f616de532a6,003c3c3e7e7e7e3c,79f8f0f0e0c8cce4,683,7,meningioma,train
D1_nickparvar_kaggle,Testing,meningioma,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_96.jpg,Te-me_96.jpg,.jpg,34400,554,554,RGB,ba6bb4c25be87a339ccfda7a83e3d3018a19a9f2d7d53321c9dcf7a41d7134ee,901a7f616de436a6,003c3c3e7e7e7e3c,79f8f0f0e0c8cce4,683,7,meningioma,train
D1_nickparvar_kaggle,Training,meningioma,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_458.jpg,Tr-me_458.jpg,.jpg,24063,554,554,RGB,ce8b974baddb2dc8bac4115b3f5c9c3006cd7a0134c3722906ef5c08d3294150,901a7f616de436a6,003c3c3e7e7e7e3c,79f8f0f0e0c8cce4,683,7,meningioma,train
D1_nickparvar_kaggle,Training,meningioma,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_468.jpg,Tr-me_468.jpg,.jpg,7007,225,225,RGB,e6ca19cc14a4c5dfaee656165c5b8c93608ab5adb96c354b15fec32fd3249857,901a7f616de532a6,003c3c3e7e7e7e3c,79f8f0f0e0c8cce4,683,7,meningioma,train
D1_nickparvar_kaggle,Testing,meningioma,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_42.jpg,Te-me_42.jpg,.jpg,12668,214,235,RGB,19f85781d3642a0c0a9d3831265070195500ff2f41feb84cf72bb87b12060e7e,902d4bb26dda39c3,003e7e7e7e7e7c18,78ece8aa8ccce8f1,721,6,meningioma,train
D1_nickparvar_kaggle,Testing,meningioma,data/raw/D1_nickparvar_kaggle/Testing/meningioma/Te-me_214.jpg,Te-me_214.jpg,.jpg,42111,528,581,RGB,287e57e51279330fe35b02999f3e99c4a8d71a2982384edeb6dc21e65e69c853,902d4bb26dda3dc2,003e7e7e7e7e7c18,78ece8aa8cccc8f1,721,6,meningioma,train
D1_nickparvar_kaggle,Training,meningioma,data/raw/D1_nickparvar_kaggle/Training/meningioma/Tr-me_1110.jpg,Tr-me_1110.jpg,.jpg,9233,214,235,RGB,6b436fb29f9dd27c8e6a2f30c8d516947c3b856bad43c45b7722e8360e517cbf,902d4bb26dda39c3,003e7e7e7e7e7c18,78ece8aa8ccce8f1,721,6,meningioma,train
